cancer_type,trial_id,rule_text,Overall,White,Asian,African-American,Female,Male,<18,18-50,50-65,>65
colorectal_cancer,NCT02563002,min absolute neutrophil count (/µl)**1500.0,72.23819301848049,71.59732922444788,73.77049180327869,74.94145199063232,82.61199696279422,60.01788908765653,,76.29629629629629,71.86897880539499,72.03818079730489
colorectal_cancer,NCT02563002,min albumin (g/dl)**2.5,13.100616016427105,14.432460195172059,4.918032786885246,8.19672131147541,4.555808656036446,23.166368515205725,,7.407407407407407,9.248554913294798,14.654688377316115
colorectal_cancer,NCT02563002,min hemoglobin (g/dl)**9.0,62.95687885010267,62.249614791987675,62.295081967213115,66.27634660421546,75.09491268033409,48.658318425760285,,61.48148148148148,61.27167630057804,63.55979786636721
colorectal_cancer,NCT02563002,min hemoglobin (mmol/l)**5.6,55.52361396303901,56.70261941448382,47.540983606557376,51.288056206088996,65.37585421412301,43.917710196779964,,49.629629629629626,52.215799614643544,56.934306569343065
colorectal_cancer,NCT02563002,min platelet count (/µl)**100000.0,67.39219712525667,68.41294298921417,63.9344262295082,63.231850117096016,67.19817767653758,67.62075134168157,,66.66666666666667,65.70327552986512,67.93935991016284
colorectal_cancer,NCT02563002,the patient demonstrates adequate organ function as defined in the protocol**descriptive,15.770020533880903,17.770929635336415,6.557377049180328,7.962529274004684,8.200455580865604,24.686940966010734,,15.555555555555555,10.404624277456648,17.349803481190342
colorectal_cancer,NCT02563002,the patient has a creatinine level less than or equal to 1.5 times the upper limit of normal (uln) or a measured or calculated creatinine clearance (crcl) or glomerular filtration rate (gfr) of at least 60 milliliters per minute (ml/min) for subjects with creatinine levels greater than 1.5 times the institutional uln**descriptive,36.016427104722794,36.569080636877246,40.98360655737705,32.78688524590164,23.614274867122248,50.62611806797853,,28.14814814814815,34.296724470134876,37.113980909601345
colorectal_cancer,NCT02563002,the patient has a diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within 7 days prior to randomization**descriptive,3.0390143737166326,3.235747303543914,4.918032786885246,1.873536299765808,3.2649962034927866,2.7728085867620753,,5.185185185185185,2.8901734104046244,2.9197080291970803
colorectal_cancer,NCT02563002,the patient has a known history of active tuberculosis (bacillus tuberculosis)**descriptive,13.018480492813142,13.353877760657422,13.114754098360656,11.475409836065573,10.782080485952923,15.652951699463328,,11.851851851851851,10.404624277456648,13.86861313868613
colorectal_cancer,NCT02563002,"the patient has a known history of human immunodeficiency virus (hiv 1/2 antibodies), active chronic or acute hepatitis b (hbsag reactive), or hepatitis c (hcv rna detected)**descriptive",10.636550308008214,10.785824345146379,3.278688524590164,11.007025761124122,7.744874715261959,14.04293381037567,,5.185185185185185,9.05587668593449,11.510387422796182
colorectal_cancer,NCT02563002,"the patient has a known history of, or any evidence of, interstitial lung disease or active, non-infectious pneumonitis**descriptive",25.13347022587269,25.680534155110426,21.311475409836067,23.185011709601874,28.170083523158695,21.556350626118068,,28.14814814814815,24.277456647398843,25.154407636159462
colorectal_cancer,NCT02563002,the patient has a total bilirubin level less than or equal to 1.5 times the upper limit of normal (uln) or a direct bilirubin level less than or equal to the uln for subjects with total bilirubin levels greater than 1.5 times the uln**descriptive,17.00205338809035,19.363122752953263,13.114754098360656,6.791569086651054,7.517084282460137,28.17531305903399,,11.851851851851851,14.065510597302504,18.248175182481752
colorectal_cancer,NCT02563002,the patient has an active autoimmune disease that has required systemic treatment in the past 2 years**descriptive,13.963039014373717,16.28145865434001,1.639344262295082,5.152224824355972,11.237661351556568,17.173524150268335,,11.11111111111111,9.633911368015415,15.440763615946098
colorectal_cancer,NCT02563002,the patient has an active infection requiring systemic therapy**descriptive,3.080082135523614,2.722136620441705,0.0,5.152224824355972,4.100227790432802,1.8783542039355994,,1.4814814814814814,1.7341040462427746,3.5934868051656372
colorectal_cancer,NCT02563002,"the patient has an international normalized ratio (inr) or prothrombin time (pt) less than or equal to 1.5 times the upper limit of normal (uln) unless receiving anticoagulant therapy, as long as pt or partial prothrombin time (ptt) is within the therapeutic range of intended use of anticoagulants**descriptive",3.5318275154004106,3.5439137134052388,3.278688524590164,3.51288056206089,1.5186028853454823,5.903398926654741,,5.185185185185185,3.8535645472061657,3.3127456485120717
